"proyecto" "folioviv" "foliohog" "numren" "conyu" "inglab" "pea" "c_ocupa" "sector_act" "ocup_16omas" "ocup" "trab_formal" "pering" "asis_esc" "años_escolaridad" "preslab" "jub" "factor" "habl_ind" "edo_civ" "pob_ind" "tam_loc" "ic_rezedu" "ic_asalud" "ic_segsoc" "ic_cv" "ic_sbv" "ic_ali" "ictpc" "sexo" "edad" "ictpc2" "mun" "ayuotr" "bengob" "est_calidad_vivienda" "actcom" "tdep" "remesas" "rururb" "bienes" "jsexo" "jedad" "pcpering" "pcocup" "jaesc" "clase_hog" "jnived"
2 153009 0 3 0 2402.3244 1 3 3 1 1 NA 1 2 9 0 0 1819 0 2 0 4 0 0 1 0 1 1 418.21004 1 35 418.21004 5 0 1 2 0 1 0 1 6 1 54 25 25 3 3 3
2 153009 0 4 0 NA 3 6 5 0 0 4 0 2 9 NA 0 1819 0 2 0 4 0 0 1 0 1 1 418.21004 0 32 418.21004 5 0 1 2 0 1 0 1 6 1 54 25 25 3 3 3
2 153009 0 5 0 NA 4 7 6 0 0 5 0 1 6 NA 0 1819 0 NA 0 4 0 0 1 0 1 1 418.21004 1 11 418.21004 5 0 1 2 0 1 0 1 6 1 54 25 25 3 3 3
2 153009 0 6 0 NA 4 7 6 0 0 5 0 1 0 NA 0 1819 0 NA 0 4 0 0 1 0 1 1 418.21004 0 4 418.21004 5 0 1 2 0 1 0 1 6 1 54 25 25 3 3 3
2 153009 0 7 0 NA 4 7 6 0 0 5 0 1 0 NA 0 1819 0 NA 0 4 0 0 1 0 1 1 418.21004 0 3 418.21004 5 0 1 2 0 1 0 1 6 1 54 25 25 3 3 3
2 153010 0 1 0 876.99087 1 3 2 1 1 2 1 2 6 NA 0 1819 0 2 0 4 0 0 1 1 1 1 907.60144 1 43 907.60144 5 0 1 1 0 0.6666667 0 1 1 1 43 60 80 6 2 4
2 153010 0 2 1 600.37033 1 3 3 1 1 NA 1 2 0 0 0 1819 0 2 0 4 1 0 1 1 1 1 907.60144 0 41 907.60144 5 0 1 1 0 0.6666667 0 1 1 1 43 60 80 6 2 4
2 153010 0 3 0 2188.3105 1 3 2 1 1 NA 1 2 8 0 0 1819 0 3 0 4 1 0 1 1 1 1 907.60144 1 21 907.60144 5 0 1 1 0 0.6666667 0 1 1 1 43 60 80 6 2 4
2 153010 0 4 0 0 4 7 6 0 1 5 0 2 8 0 0 1819 0 6 0 4 1 0 1 1 1 1 907.60144 0 15 907.60144 5 0 1 1 0 0.6666667 0 1 1 1 43 60 80 6 2 4
2 153010 0 5 0 NA 4 7 6 0 0 5 0 1 3 NA 0 1819 0 NA 0 4 0 0 1 1 1 1 907.60144 0 9 907.60144 5 0 1 1 0 0.6666667 0 1 1 1 43 60 80 6 2 4
2 153011 0 1 0 733.33333 1 3 2 1 1 2 1 2 3 NA 0 1819 0 2 0 4 1 0 1 0 1 0 1226.2094 1 38 1226.2094 5 0 1 2 1 1 0 1 6 1 38 100 33.33334 3 2 3
